Time,Node,Type,Packets
1,root,CacheHits,97
1,root,CacheMisses,102
1,l1-1,CacheHits,110
1,l1-1,CacheMisses,101
1,l1-2,CacheHits,73
1,l1-2,CacheMisses,98
1,l2-1,CacheHits,93
1,l2-1,CacheMisses,110
1,l2-2,CacheHits,80
1,l2-2,CacheMisses,102
1,l2-3,CacheHits,46
1,l2-3,CacheMisses,90
1,l2-4,CacheHits,35
1,l2-4,CacheMisses,82
1,l3-1,CacheHits,195
1,l3-1,CacheMisses,103
1,l3-2,CacheHits,167
1,l3-2,CacheMisses,105
1,l3-3,CacheHits,155
1,l3-3,CacheMisses,101
1,l3-4,CacheHits,134
1,l3-4,CacheMisses,85
1,l3-5,CacheHits,92
1,l3-5,CacheMisses,74
1,l3-6,CacheHits,90
1,l3-6,CacheMisses,65
1,l3-7,CacheHits,43
1,l3-7,CacheMisses,59
1,l3-8,CacheHits,46
1,l3-8,CacheMisses,62
2,root,CacheHits,3
2,root,CacheMisses,0
2,l1-1,CacheHits,79
2,l1-1,CacheMisses,0
2,l1-2,CacheHits,93
2,l1-2,CacheMisses,3
2,l2-1,CacheHits,111
2,l2-1,CacheMisses,31
2,l2-2,CacheHits,88
2,l2-2,CacheMisses,48
2,l2-3,CacheHits,118
2,l2-3,CacheMisses,58
2,l2-4,CacheHits,109
2,l2-4,CacheMisses,38
2,l3-1,CacheHits,231
2,l3-1,CacheMisses,79
2,l3-2,CacheHits,272
2,l3-2,CacheMisses,65
2,l3-3,CacheHits,245
2,l3-3,CacheMisses,62
2,l3-4,CacheHits,196
2,l3-4,CacheMisses,74
2,l3-5,CacheHits,212
2,l3-5,CacheMisses,91
2,l3-6,CacheHits,217
2,l3-6,CacheMisses,85
2,l3-7,CacheHits,206
2,l3-7,CacheMisses,79
2,l3-8,CacheHits,213
2,l3-8,CacheMisses,68
3,root,CacheHits,0
3,root,CacheMisses,0
3,l1-1,CacheHits,87
3,l1-1,CacheMisses,0
3,l1-2,CacheHits,91
3,l1-2,CacheMisses,0
3,l2-1,CacheHits,98
3,l2-1,CacheMisses,54
3,l2-2,CacheHits,101
3,l2-2,CacheMisses,33
3,l2-3,CacheHits,121
3,l2-3,CacheMisses,49
3,l2-4,CacheHits,98
3,l2-4,CacheMisses,42
3,l3-1,CacheHits,251
3,l3-1,CacheMisses,75
3,l3-2,CacheHits,235
3,l3-2,CacheMisses,75
3,l3-3,CacheHits,222
3,l3-3,CacheMisses,61
3,l3-4,CacheHits,227
3,l3-4,CacheMisses,73
3,l3-5,CacheHits,228
3,l3-5,CacheMisses,84
3,l3-6,CacheHits,240
3,l3-6,CacheMisses,86
3,l3-7,CacheHits,243
3,l3-7,CacheMisses,61
3,l3-8,CacheHits,220
3,l3-8,CacheMisses,81
4,root,CacheHits,0
4,root,CacheMisses,0
4,l1-1,CacheHits,96
4,l1-1,CacheMisses,0
4,l1-2,CacheHits,81
4,l1-2,CacheMisses,0
4,l2-1,CacheHits,105
4,l2-1,CacheMisses,51
4,l2-2,CacheHits,113
4,l2-2,CacheMisses,45
4,l2-3,CacheHits,106
4,l2-3,CacheMisses,49
4,l2-4,CacheHits,104
4,l2-4,CacheMisses,32
4,l3-1,CacheHits,231
4,l3-1,CacheMisses,80
4,l3-2,CacheHits,229
4,l3-2,CacheMisses,76
4,l3-3,CacheHits,228
4,l3-3,CacheMisses,70
4,l3-4,CacheHits,212
4,l3-4,CacheMisses,89
4,l3-5,CacheHits,230
4,l3-5,CacheMisses,75
4,l3-6,CacheHits,196
4,l3-6,CacheMisses,81
4,l3-7,CacheHits,225
4,l3-7,CacheMisses,73
4,l3-8,CacheHits,236
4,l3-8,CacheMisses,64
5,root,CacheHits,0
5,root,CacheMisses,0
5,l1-1,CacheHits,87
5,l1-1,CacheMisses,0
5,l1-2,CacheHits,86
5,l1-2,CacheMisses,0
5,l2-1,CacheHits,103
5,l2-1,CacheMisses,49
5,l2-2,CacheHits,108
5,l2-2,CacheMisses,38
5,l2-3,CacheHits,123
5,l2-3,CacheMisses,48
5,l2-4,CacheHits,101
5,l2-4,CacheMisses,38
5,l3-1,CacheHits,224
5,l3-1,CacheMisses,66
5,l3-2,CacheHits,216
5,l3-2,CacheMisses,87
5,l3-3,CacheHits,219
5,l3-3,CacheMisses,71
5,l3-4,CacheHits,217
5,l3-4,CacheMisses,76
5,l3-5,CacheHits,244
5,l3-5,CacheMisses,81
5,l3-6,CacheHits,232
5,l3-6,CacheMisses,90
5,l3-7,CacheHits,224
5,l3-7,CacheMisses,67
5,l3-8,CacheHits,243
5,l3-8,CacheMisses,72
6,root,CacheHits,0
6,root,CacheMisses,0
6,l1-1,CacheHits,91
6,l1-1,CacheMisses,0
6,l1-2,CacheHits,101
6,l1-2,CacheMisses,0
6,l2-1,CacheHits,113
6,l2-1,CacheMisses,53
6,l2-2,CacheHits,101
6,l2-2,CacheMisses,39
6,l2-3,CacheHits,109
6,l2-3,CacheMisses,57
6,l2-4,CacheHits,107
6,l2-4,CacheMisses,44
6,l3-1,CacheHits,203
6,l3-1,CacheMisses,88
6,l3-2,CacheHits,246
6,l3-2,CacheMisses,78
6,l3-3,CacheHits,215
6,l3-3,CacheMisses,80
6,l3-4,CacheHits,238
6,l3-4,CacheMisses,59
6,l3-5,CacheHits,220
6,l3-5,CacheMisses,84
6,l3-6,CacheHits,224
6,l3-6,CacheMisses,82
6,l3-7,CacheHits,239
6,l3-7,CacheMisses,74
6,l3-8,CacheHits,203
6,l3-8,CacheMisses,77
7,root,CacheHits,0
7,root,CacheMisses,0
7,l1-1,CacheHits,87
7,l1-1,CacheMisses,0
7,l1-2,CacheHits,64
7,l1-2,CacheMisses,0
7,l2-1,CacheHits,119
7,l2-1,CacheMisses,48
7,l2-2,CacheHits,110
7,l2-2,CacheMisses,38
7,l2-3,CacheHits,116
7,l2-3,CacheMisses,32
7,l2-4,CacheHits,94
7,l2-4,CacheMisses,32
7,l3-1,CacheHits,222
7,l3-1,CacheMisses,83
7,l3-2,CacheHits,233
7,l3-2,CacheMisses,85
7,l3-3,CacheHits,232
7,l3-3,CacheMisses,84
7,l3-4,CacheHits,237
7,l3-4,CacheMisses,64
7,l3-5,CacheHits,222
7,l3-5,CacheMisses,79
7,l3-6,CacheHits,236
7,l3-6,CacheMisses,70
7,l3-7,CacheHits,207
7,l3-7,CacheMisses,66
7,l3-8,CacheHits,238
7,l3-8,CacheMisses,60
8,root,CacheHits,0
8,root,CacheMisses,0
8,l1-1,CacheHits,89
8,l1-1,CacheMisses,0
8,l1-2,CacheHits,92
8,l1-2,CacheMisses,0
8,l2-1,CacheHits,112
8,l2-1,CacheMisses,44
8,l2-2,CacheHits,121
8,l2-2,CacheMisses,45
8,l2-3,CacheHits,101
8,l2-3,CacheMisses,48
8,l2-4,CacheHits,105
8,l2-4,CacheMisses,44
8,l3-1,CacheHits,226
8,l3-1,CacheMisses,73
8,l3-2,CacheHits,209
8,l3-2,CacheMisses,83
8,l3-3,CacheHits,221
8,l3-3,CacheMisses,86
8,l3-4,CacheHits,225
8,l3-4,CacheMisses,80
8,l3-5,CacheHits,225
8,l3-5,CacheMisses,69
8,l3-6,CacheHits,230
8,l3-6,CacheMisses,81
8,l3-7,CacheHits,225
8,l3-7,CacheMisses,70
8,l3-8,CacheHits,262
8,l3-8,CacheMisses,79
9,root,CacheHits,0
9,root,CacheMisses,0
9,l1-1,CacheHits,93
9,l1-1,CacheMisses,0
9,l1-2,CacheHits,71
9,l1-2,CacheMisses,0
9,l2-1,CacheHits,93
9,l2-1,CacheMisses,52
9,l2-2,CacheHits,108
9,l2-2,CacheMisses,41
9,l2-3,CacheHits,112
9,l2-3,CacheMisses,37
9,l2-4,CacheHits,126
9,l2-4,CacheMisses,34
9,l3-1,CacheHits,231
9,l3-1,CacheMisses,72
9,l3-2,CacheHits,219
9,l3-2,CacheMisses,74
9,l3-3,CacheHits,210
9,l3-3,CacheMisses,74
9,l3-4,CacheHits,229
9,l3-4,CacheMisses,75
9,l3-5,CacheHits,229
9,l3-5,CacheMisses,86
9,l3-6,CacheHits,196
9,l3-6,CacheMisses,63
9,l3-7,CacheHits,240
9,l3-7,CacheMisses,79
9,l3-8,CacheHits,223
9,l3-8,CacheMisses,81
